2026-04-03 09:32:21 | INFO |  plotphase2.py:89  | picture_title: [['dp/p', 'dp/p(%)']]
2026-04-03 09:33:02 | INFO |  plotphase2.py:317  | hello world
2026-04-03 09:33:03 | INFO |  plotphase2.py:79  | picture_type: [['dp_p', 'dp_p_100']]
2026-04-03 09:33:03 | INFO |  plotphase2.py:89  | picture_title: [['dp/p', 'dp/p(%)']]
2026-04-03 09:34:40 | INFO |  plotphase2.py:309  | hello world
2026-04-03 09:34:40 | INFO |  plotphase2.py:72  | picture_type: [['dp_p', 'dp_p_100']]
2026-04-03 09:34:40 | INFO |  plotphase2.py:82  | picture_title: [['dp/p', 'dp/p(%)']]
2026-04-03 09:35:10 | INFO |  plotphase2.py:307  | hello world
2026-04-03 09:35:10 | INFO |  plotphase2.py:72  | picture_type: [['x', 'x1'], ['y', 'y1'], ['phi', 'w_minus_mean'], ['z', 'dp_p']]
2026-04-03 09:35:10 | INFO |  plotphase2.py:82  | picture_title: [['X(mm)', "X'(mrad)"], ['Y(mm)', "Y'(mrad)"], ['Φ(deg)', 'W(MeV)'], ['Z(mm)', 'dp/p']]
2026-04-03 09:50:59 | INFO |  plotphase2.py:72  | picture_type: [['z', 'dp_p']]
2026-04-03 09:50:59 | INFO |  plotphase2.py:82  | picture_title: [['Z(mm)', 'dp/p']]
2026-04-03 09:51:47 | INFO |  plotphase2.py:307  | hello world
2026-04-03 11:26:35 | INFO |  plotphase2.py:307  | hello world
2026-04-03 11:26:44 | INFO |  plotphase2.py:307  | hello world
2026-04-03 15:02:40 | INFO |  plotphase2.py:307  | hello world
2026-04-03 15:35:41 | INFO |  plotphase2.py:302  | hello world
2026-04-03 15:36:02 | INFO |  plotphase2.py:302  | hello world
2026-04-03 15:36:23 | INFO |  plotphase2.py:302  | hello world
